address,timeframe,trade_count,wins,losses,wins_usd,losses_usd,volume,profit,win_rate,in_tier,resolved_trades
0x0512e5e821720e3fd09b39d37ff55889aa35d737,15min,46,3,43,10.92,4.46,201.06,6.46,0.0652,0,46
0x051300d847059498c35894114dee1aa38ee36ee8,monthly,12,0,0,0.0,0.0,275.64,0.0,0.0,0,0
0x05141b9fd812dd746c0c79b67effaec2d0bdf8c6,15min,33,29,4,484.89,54.26,438.47,430.63,0.8788,1,33
0x05147909e2ab9dd38f63ae29d7163c9dae1a7488,15min,11,3,8,32.15,43.6,106.01,-11.44,0.2727,0,11
0x05147909e2ab9dd38f63ae29d7163c9dae1a7488,hourly,55,25,30,565.94,561.75,1013.14,4.18,0.4545,0,55
0x051b59049fbda656f161bdda9939607b4a5a09d4,daily,36,25,7,170.15,21.6,176.55,148.55,0.7812,1,32
0x051f6c793a63f747432237a83ad9c878348a66b0,15min,34,27,7,908.23,360.07,1274.9,548.16,0.7941,1,34
0x052219db67d2cae1ff93c4c9b8448a6c47a002f4,monthly,28,2,2,50.45,6.15,2798.81,44.3,0.5,0,4
0x0526232ea06230ba98bd849be108dcffd2f79fc3,15min,38,9,29,96.07,220.68,235.27,-124.61,0.2368,0,38
0x053e0214107f0976bbe054b4fc5dd311e12a90e9,daily,28,15,13,6.68,8.63,12.7,-1.95,0.5357,0,28
0x0540f430df85c770e0a4fb79d8499d71ebc298eb,daily,2906,1427,1373,6251.29,8368.23,23824.06,-2116.95,0.5096,0,2800
0x0540f430df85c770e0a4fb79d8499d71ebc298eb,monthly,333,90,76,364.04,242.91,19093.3,121.13,0.5422,0,166
0x054a07d270153e642535feabf941a4f2e29ef218,monthly,14,0,12,0.0,91.62,100.17,-91.62,0.0,0,12
0x0550f6d689f9fb23219b8bb43b9581bc0f85457b,15min,36,17,19,24.11,8.71,35.44,15.4,0.4722,0,36
0x0550f6d689f9fb23219b8bb43b9581bc0f85457b,hourly,17,7,10,9.76,1.53,16.06,8.23,0.4118,0,17
0x0554bc8fd0f7b92fb4a52fda737e101c02e1579f,daily,14,0,8,0.0,112.19,192.75,-112.19,0.0,0,8
0x0554bc8fd0f7b92fb4a52fda737e101c02e1579f,monthly,16,1,2,5.5,1.97,821.96,3.53,0.3333,0,3
0x055a3371cd03788cb372df996492fba70aaddfdc,daily,12,0,0,0.0,0.0,322.55,0.0,0.0,0,0
0x055d389e3e60702612588f602d81b538b21c9148,monthly,13,4,3,32.83,17.28,500.93,15.55,0.5714,0,7
0x0567654e96fdd1b49a5e187dfd25f5e66137414b,15min,19,10,9,41.8,12.38,30.66,29.42,0.5263,0,19
0x0568af10694f0af63302675e3c0d5d50237b1c5d,monthly,54,0,0,0.0,0.0,840.5,0.0,0.0,0,0
0x0588d1ba07c6fc884c45bfdf58c78e29c4f78f18,daily,127,70,55,1770.12,4403.97,9352.89,-2633.85,0.56,0,125
0x05990e670ca080e9634206133f4d02bdaf423490,daily,28,9,19,4417.44,488.29,10806.45,3929.15,0.3214,0,28
0x0599dc10a7934fea2f60b497ea2b6335c7533c6a,daily,10,2,6,122.22,106.68,963.72,15.54,0.25,0,8
0x059abf117998ff27c21da783ad17ed37a0fba5a1,15min,16,8,8,189.31,233.41,565.85,-44.1,0.5,0,16
0x05a65b7db28ff27ad4e83dad6662f796cf366c7f,15min,323,218,105,122.98,76.87,197.78,46.11,0.6749,0,323
0x05a65b7db28ff27ad4e83dad6662f796cf366c7f,hourly,15,12,3,14.05,3.41,15.31,10.64,0.8,1,15
0x05c00d50c96e19551da29a408e14d328a7678be3,15min,89,53,36,773.36,463.96,1133.48,309.41,0.5955,0,89
0x05c1882212a41aa8d7df5b70eebe03d9319345b7,15min,1274,674,600,4358.72,1930.6,4801.35,2428.12,0.529,0,1274
0x05cbec836fcdbf40dce0b2ce67c10a35404ef625,monthly,51,14,20,1725.22,197.57,3755.42,1527.65,0.4118,0,34
